publishedAt,title,description,url,source_name
2025-11-14T20:31:39Z,"SF Sketchfest 2026 lineup: Kids in the Hall, Futurama, Nickelodeon’s ‘Doug’ reunion, The Women of SNL, more","The 2026 edition of SF Sketchfest happens January 15 to February 1 at stages all over San Francisco. As usual, the lineup is sprawling and amazing, including special events and tributes, sketch groups, improv, podcasts, standup, and more. Tickets go on sale S…",https://www.brooklynvegan.com/sf-sketchfest-2026-lineup-kids-in-the-hall-futurama-nickelodeons-doug-reunion-the-women-of-snl-more/,Brooklyn Vegan
2025-11-14T19:29:43Z,Carney wants to boost resource development. Canada's climate legacy hangs in the balance,"At the same time that Prime Minister Mark Carney was announcing a new tranche of major projects his government wants to fast-track, including a new gas export terminal, Canada’s representatives were trying to shore up the country’s climate reputation amongst …",https://www.cbc.ca/news/science/cop30-climate-carney-9.6979361,CBC News
2025-11-14T17:08:56Z,"No evidence of systemic issue on Keystone system following N.D. spill, South Bow says","CALGARY — South Bow Corp. aims to gradually return its Keystone pipeline to normal operations next year, as the system continues to run at reduced pressure following an April spill in North Dakota. Chief operating officer Richard Prior says the company has se…",https://financialpost.com/pmn/no-evidence-of-systemic-issue-on-keystone-system-following-n-d-spill-south-bow-says,Financial Post
2025-11-14T16:39:34Z,Canada Budget Watchdog Doubts Carney Can Fulfill Deficit Promise,Canada’s budget watchdog is skeptical Prime Minister Mark Carney’s government will fulfill one of its key fiscal pledges.,https://financialpost.com/pmn/business-pmn/canada-budget-watchdog-doubts-carney-can-fulfill-deficit-promise,Financial Post
2025-11-14T15:39:50Z,"REM's Deux-Montagnes branch finally opens, rides will be free all weekend",The much anticipated branch of the REM connecting Deux-Montagnes to downtown Montreal will open after six years in the making.,https://www.cbc.ca/news/canada/montreal/rem-s-deux-montagnes-branch-finally-opens-rides-will-be-free-all-weekend-9.6978931,CBC News
2025-11-14T15:03:39Z,Carney’s ‘nation-building’ programme misses mark to be truly transformative for Canada,"The $C56bn plan focused on investing in a resource economy falls short of changing Canadians’ day-to-day lives 
Canada’s prime minister Mark Carney likes to say that when he was young, “we used to build big things in this country, and we used to build them qu…",https://biztoc.com/x/2c210251a910009b,Biztoc.com
2025-11-14T14:18:40Z,What you need to know about the six new nation-building projects on Carney’s list,Prime Minster Mark Carney announced six new projects he is recommending for fast-track approval. Here's what you need to know about them.,https://financialpost.com/commodities/mining/need-to-know-six-new-nation-building-projects-carney-list,Financial Post
2025-11-14T13:33:09Z,Europe's IT spend to surge 11% as cloud sovereignty fever takes hold,"AI, cybersecurity, and geopolitical jitters forecast to push market to $1.4T next year IT spending in Europe will grow 11 percent next year to hit $1.4 trillion amid a desire for cloud sovereignty, according to Gartner.…",https://www.theregister.com/2025/11/14/it_spending_europe/,Theregister.com
2025-11-14T13:00:00Z,Can northwest B.C.'s infrastructure handle Ottawa's 4 'nation-building' projects?,"Some local leaders in northwestern B.C. say Ottawa’s decision to fast-track two massive energy projects will boost the region’s economy — but stress that cities like Terrace and Prince Rupert need urgent, long-term investments to handle the growth.",https://www.cbc.ca/news/canada/british-columbia/nation-building-projects-northwest-bc-9.6978632,CBC News
2025-11-14T13:00:00Z,Bolivia’s Turn From Socialist Rule,"Socialism may be on the rise in New York with the election of Zohran Mamdani, but the story is different elsewhere. People may be familiar with... Read More
2025-11-14T12:30:00Z,Canada and India to Partner in Critical Minerals Supply Chain,"Faced with difficult trade negotiations with the United States and American tariffs on their products, Canada and India pledged to encourage long-term supply chain partnerships in critical minerals and clean energy.  At a trade summit in India, Canada and the…",https://oilprice.com/Latest-Energy-News/World-News/Canada-and-India-to-Partner-in-Critical-Minerals-Supply-Chain.html,OilPrice.com
