publishedAt,title,description,url,source_name
2025-10-28T23:37:10Z,"Christopher Luxon flies into South Korea for Apec, ahead of Donald Trump dinner",The Prime Minister is in Gyeongju for Apec.,https://www.nzherald.co.nz/nz/politics/christopher-luxon-flies-into-south-korea-for-apec-ahead-of-donald-trump-dinner/ACCEFDSRFFDO5A4JPIEFZKTMX4/,New Zealand Herald
2025-10-28T22:22:53Z,FTSE 100 and Wall Street Climb to New Record Highs – Is There More Room to Grow?,"UK and US stock markets are riding strong tailwinds, with analysts optimistic about further gains towards the end of 2025.",https://www.ibtimes.com/ftse-100-wall-street-climb-new-record-highs-there-more-room-grow-3788708,International Business Times
2025-10-28T18:15:00Z,Canada Needs a New Bestie,Trump’s attacks on long-standing allies are changing the balance of global power.,https://www.theatlantic.com/politics/archive/2025/10/canada-us-foreign-policy-trump/684719/,The Atlantic
2025-10-28T18:04:08Z,"Canada more popular than Donald Trump in the U.S., CNN analyst declares",An analysis of polling data by CNN indicates that Canada enjoys more popularity among Americans than does U.S. President Donald Trump.,https://nationalpost.com/news/canada/canada-trump-popularity,National Post
2025-10-28T17:18:29Z,Bank of Canada Expected to Cut Ahead of Carney’s Budget,"The Bank of Canada is likely to cut interest rates to help an economy that’s suffering more damage from US tariffs, even as Prime Minister Mark Carney finalizes plans for a stimulative budget to boost growth.",https://financialpost.com/pmn/business-pmn/bank-of-canada-expected-to-cut-ahead-of-carneys-budget,Financial Post
2025-10-28T17:12:24Z,Poilievre says Carney 'approved' Ontario's anti-tariff ad that Trump said ended trade talks,"Opposition Conservative Leader Pierre Poilievre said on Tuesday that Prime Minister Mark Carney ""approved"" Ontario&#39s anti-tariff ads.",https://nationalpost.com/news/politics/poilievre-says-carney-approved-ontarios-anti-tariff-ad-that-trump-said-ended-trade-talks,National Post
2025-10-28T15:47:07Z,Opinion: How medical cannabis can help Canada reach its new export ambitions,"Prime Minister Mark Carney has set an ambitious goal: to double Canada’s non-U.S. exports within the next decade, generating an estimated $300 billion in additional trade. To succeed, Canada must focus on sectors that combine global demand with proven domesti…",https://biztoc.com/x/84bdbe2db642da3a,Biztoc.com
2025-10-28T15:41:22Z,Opinion: How medical cannabis can help Canada reach its new export ambitions,"Raj Grover: As demand surges in Germany and other markets, Canada has a chance to cement it's standing as Europe’s most trusted medical cannabis partner.",https://financialpost.com/cannabis/opinion-medical-cannabis-help-canada-reach-export-ambitions,Financial Post
2025-10-28T14:29:37Z,Canada isn’t deeply polarized — yet. What new research reveals about partisan animosity,"For now, the Canadian polarization story is one of caution, not crisis. Our political differences are real, but haven’t yet deeply divided us.",https://theconversation.com/canada-isnt-deeply-polarized-yet-what-new-research-reveals-about-partisan-animosity-267719,The Conversation Africa
2025-10-28T14:07:07Z,"As Trump Tariffs Canada, Carney Turns to Asia for Trade","Prime Minister Mark Carney, in Kuala Lumpur, Malaysia, on Monday, is under pressure to show he has a plan to move Canada away from its long-established economic dependence on the United States.",https://biztoc.com/x/68764435fe903a23,Biztoc.com
