publishedAt,title,description,url,source_name,topic,original_row
2022-10-20,"Recession in Canada ‘probable’ next year, ex-Bank of Canada governor Mark Carney says",National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2022/10/20/recession-in-canada-probable-next-year-ex-bank-of-canada-governor-mark-carney-says/,nationalnewswatch.com,Political Commentary,5
2023-09-29,Tasha Kheiriddin: Mark Carney jumpstarts Trudeau death watch,This isn’t the only such speech Carney has given lately,https://nationalpost.com/opinion/tasha-kheiriddin-mark-carney-jumpstarts-trudeau-death-watch,nationalpost.com,Political Commentary,11
2023-11-09,"Ottawa MP Mona Fortier denies rumours of imminent resignation, replacement by Mark Carney",National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/11/09/ottawa-mp-mona-fortier-denies-rumours-of-imminent-resignation-replacement-by-mark-carney/,nationalnewswatch.com,Political Party Affair,17
2024-09-09,Mark Carney set to take on role as Trudeau special advisor: source - National,"Mark Carney is set to arrive in Nanaimo, B.C., on Monday and will speak to Liberal MPs at their summer caucus retreat on the topic of growth and the economy.",https://globalnews.ca/news/10740296/mark-carney-advisor-justin-trudeau/,globalnews.ca,Political Party Affair,23
2024-09-10,"Mark Carney silent on his political future, carbon tax at Liberal caucus retreat","The former Bank of Canada governor has been touted as a possible leadership contender to replace PM Justin Trudeau, who is struggling in polls",https://nationalpost.com/news/politics/mark-carney-silent-on-political-future-carbon-tax,nationalpost.com,Political Party Affair,29
2025-01-14,"Liberals prefer Mark Carney over Chrystia Freeland as next leader, poll suggests","A new poll suggests that Liberal supporters prefer Mark Carney as their next leader over a field of potential candidates. Polling firm Leger surveyed around 1,5...",https://toronto.citynews.ca/2025/01/14/liberals-prefer-mark-carney-over-chrystia-freeland-as-next-leader-poll-suggests/,680news.com,Elections,35
2025-01-16,CBU political science prof weighs in on Mark Carney announcement,"In an interview with Amy Smith, Tom Urbaniak says Carney has been hovering around Liberal leadership prospects for a long time, but he has to do more to become ...",https://www.cbc.ca/player/play/video/9.6615476,cbc.ca,Political Commentary,41
2025-02-05,Geoff Russ: The astroturfing of Mark Carney,"The Carney campaign is working to convince Canada that he's someone he is not, all for the benefit of the desperate Liberals",https://nationalpost.com/opinion/geoff-russ-the-astroturfing-of-mark-carney,nationalpost.com,Political Commentary,47
2025-02-18,WATCH: Who is Mark Carney?,"Philip Cross, former chief economic analyst at Statistics Canada, sits down with NP to discuss Mark Carney",https://nationalpost.com/opinion/watch-who-is-mark-carney,nationalpost.com,Political Commentary,53
2025-02-27,Conservatives attack Mark Carney over his firm's relocation to the U.S.,"On Wednesday, the Conservative party accused Carney of lying to the media after Tuesday's Liberal leadership debate and of indirectly helping U.S. President Don...",https://www.nationalobserver.com/2025/02/27/news/conservatives-mark-carney-firm-brookfield-relocation-us,nationalobserver.com,Political Commentary,59
