title, url, source_name, topic
Mark Carney meeting with China's president a 'turning point', https://torontosun.com/news/national/mark-carney-meets-china-president-xi, torontosun, International Relations
Xi and Carney meeting in South Korea try to rebuild China-Canada relations, https://apnews.com/article/china-canada-xi-carney-apec-ace80262b0e54460f6994bf48322abed, apnews, International Relations
Canada should tread cautiously in renewing China ties, https://torontosun.com/news/canada-china-caution, torontosun, International Relations and Diplomacy
Mark Carney mending diplomatic fences with China at APEC, https://financialpost.com/news/carney-mending-fences-china-apec, financialpost, International Relations & Diplomacy
Trump says Canada trade talks won't resume contradicting Wright, https://financialpost.com/news/trump-canada-trade-talks-wont-resume, financialpost, Trade Disputes
Ottawa’s big promise to tackle dirty money: Can it deliver this time?, https://winnipegsun.com/news/ottawas-big-promise-to-tackle-dirty-money-can-it-deliver-this-time, winnipegsun, Financial Crime Regulations
Carney says meeting with Xi marks turning point in Canada-China relationship, https://www.castanet.net/news/Canada/581315/Analysts-say-Carney-Xi-meeting-set-right-tone-urge-caution-on-next-steps, castanent, International Relations
Canadian PM Mark Carney apologized for anti-tariff Reagan ad Trump says, https://nypost.com/2025/10/31/us-news/canadian-pm-mark-carney-apologized-for-anti-tariff-reagan-ad-trump-says/, New York Post, International Disputes
‘It’s not always a straight line’: Sask. premier positive about China trade talks, https://globalnews.ca/news/11505077/saskatchewan-moe-trade-china-carney/, globalnews, International Relations
Canada can't get Chinese tariffs lifted right away Carney says, https://financialpost.com/news/carney-canada-china-tariffs, financialpost, International Trades
Spurned by Trump Carney Begins Thawing Canada’s China Connection, https://www.nytimes.com/2025/11/01/world/canada/canada-china-carney-xi.html, New York Times, International Trades
Carney wraps up Asia trip looking ahead to first federal budget next week, https://www.castanet.net/news/Canada/581456/Carney-wraps-up-Asia-trip-looking-ahead-to-first-federal-budget-next-week, castanet, Federal Budget
Canadian PM Carney says he told Ontario's premier not to run anti-tariff ad that upset Trump, https://www.marketbeat.com/articles/canadian-prime-minister-says-he-told-ontarios-premier-not-to-run-anti-tariff-ad-that-upset-trump-2025-11-01/, marketbeat, International Disputes
Carney says China doesn’t grasp Canada’s concern over issues of foreign interference, https://globalnews.ca/news/11506376/carney-china-president-xi-meeting/, globalnews, International Relations
Carney says he told Ontario premier not to run anti-tariff ad apologized to Trump, https://financialpost.com/pmn/carney-says-he-told-ontario-premier-not-to-run-anti-tariff-ad-apologized-to-trump-2, financialpost, International Disputes
How U.S. Supreme Court's tariff decision could impact Canada, https://torontosun.com/news/national/how-u-s-supreme-courts-tariff-decision-could-impact-canada, torontosun, US Tariffs
LILLEY: Carney looks weak in the Ford-Trump ad controversy, https://winnipegsun.com/opinion/lilley-carney-looks-weak-in-the-ford-trump-ad-controversy, winnipegsun, International Disputes
BUDGET 2025: What to look for in Mark Carney's first budget, https://torontosun.com/news/national/budget-2025-101, torontosun, Federal Budget
Pierre Poilievre calls for fiscal sanity as Budget 2025 looms, https://torontosun.com/news/national/pierre-poilievre-calls-for-fiscal-sanity-as-budget-2025-looms, torontosun, Federal Budget
Killing the Canada Goose, https://canadafreepress.com/article/killing-the-canada-goose, canadafreepress, Environmental Policy
FIRST READING: Comparing how Pierre Poilievre and Mark Carney talk to young people, https://nationalpost.com/opinion/first-reading-comparing-how-pierre-poilievre-and-mark-carney-talk-to-young-people, nationalpost, Elections
How Carney’s 1st budget will be different from others, https://globalnews.ca/news/11508604/mark-carneys-first-budget-different/, globalnews, Federal Budget
Ford says Carney asked him to remove anti-tariff ad early ‘a couple of times’, https://globalnews.ca/news/11508575/carney-ask-ford-remove-reagan-tariff-ad/, globalnews, International Disputes
Feds to unveil proposed changes to EV sales mandate this winter, https://canadianunderwriter.ca/news/auto/feds-to-unveil-proposed-changes-to-ev-sales-mandate-this-winter/, canadianunderwriter, Environmental Policy
Owe Canada: Everything you need to know about Canada's $1.28 trillion (and counting) federal debt, https://financialpost.com/news/canadas-budget-2025-federal-debt-rising, financialpost, Federal Debt
LILLEY: 5 tax changes Mark Carney should make but probably won't, https://winnipegsun.com/uncategorized/lilley-5-tax-changes-mark-carney-should-make-but-probably-wont, winnipegsun, Tax Policy
Ford says trade negotiation ‘falls on’ federal government after commercial controversy, https://globalnews.ca/news/11510405/doug-ford-says-mark-carney-runs-trade-talks/, globalnews, Trade Disputes
What's missing from the Carney government's first federal budget, https://winnipegsun.com/pmn/whats-missing-from-the-carney-governments-first-federal-budget, winnipegsun, Federal Budget
John Robson: Mark Carney's deficit exploding budget is elbows up IQs down, https://nationalpost.com/opinion/john-robson-mark-carneys-deficit-exploding-budget-is-elbows-up-iqs-down, nationalpost, Federal Budget
Canada Set to Add $119 Billion to Deficits as Growth Stalls, https://financialpost.com/pmn/business-pmn/canada-set-to-add-119-billion-to-deficits-as-growth-stalls, financialpost, Federal Debt
Canada budget 2025 in its own words, https://financialpost.com/news/economy/read-canada-budget-2025, financialpost, Federal Budget
What to Know About Canada’s New Budget, https://www.nytimes.com/2025/11/04/world/canada/what-to-know-canada-budget.html, New York Times, Federal Budget
EDITORIAL: Prime minister banks on debt to boost Canada's economy, https://torontosun.com/opinion/editorials/editorial-prime-minister-banks-on-debt-to-boost-canadas-economy, torontosun, Federal Debt
Federal budget reveals Carney government is considering privatizing airports, https://financialpost.com/transportation/canada-budget-2025-mark-carney-open-privatizing-airports, financialpost, Federal Budget
In the news today: Post-budget sales pitch begins Prince Harry to visit Toronto, https://winnipegsun.com/pmn/in-the-news-today-post-budget-sales-pitch-begins-prince-harry-to-visit-toronto, winnipegsun, Federal Budget
Prime Minister Carney thanks Nova Scotia MP d’Entremont for joining Liberal caucus, https://meridiansource.ca/2025/11/05/prime-minister-carney-thanks-nova-scotia-mp-dentremont-for-joining-liberal-caucus/, meridiansource, Political Party Affairs
Taxpayers Federation slams Budget 2025 for soaring deficit rising debt and expanded carbon tax, https://winnipegsun.com/news/taxpayers-federation-slams-budget-2025-for-soaring-deficit-rising-debt-and-expanded-carbon-tax, winnipegsun, Federal Debt
Carney calls floor-crossing ex-Conservative MP ‘exceptionally valuable’, https://globalnews.ca/news/11512179/mark-carney-chris-dentremont-floor-crossing/, globalnews, Political Party Affairs
Joe Rogan says Trump 'ruined Canada' by helping Mark Carney win, https://torontosun.com/news/national/joe-rogan-trump-ruined-canada-mark-carney-win, torontosun, Global Political Influence
'Rome wasn't built in a day': Canadians will have to wait for boost from Carney's budget say economists, https://financialpost.com/news/economy/canada-budget-take-time-to-boost-economy, financialpost, Federal Budget
Letters to the Editor Nov. 6 2025, https://torontosun.com/opinion/letters/letters-to-the-editor-nov-6-2025, torontosun, Public Sentiment on Government
Bloc NDP vote with Liberals in first of three confidence budget votes, https://nationalpost.com/news/bloc-ndp-to-vote-with-liberals-in-first-of-three-confidence-budget-votes, nationalpost, Political Party Affairs
BATRA’S BURNING QUESTIONS: Caucus changing Conservative distracts from Liberal budget, https://torontosun.com/news/batras-burning-questions-caucus-changing-conservative-distracts-from-liberal-budget, torontosun, Political Party Affair
Canada's Conservatives Lose Another Lawmaker on Eve of Budget Vote, https://financialpost.com/pmn/business-pmn/carneys-conservative-rival-loses-second-lawmaker-in-three-days, financialpost, Political Party Affairs
Bad week for the Conservatives puts Pierre Poilievre on the defensive, https://globalnews.ca/news/11516879/pierre-poilievres-bad-week/, globalnews, Political Party Affairs
Carney tells business crowd a new pipeline project is ‘going to happen’, https://globalnews.ca/news/11517423/fedbudget-pipeline/, globalnews, Oil Pipeline
Federal budget shows willingness to counter U.S. China critical mineral strategies: B.C. expert, https://winnipegsun.com/uncategorized/federal-budget-shows-willingness-to-counter-u-s-china-critical-mineral-strategies-b-c-expert, winnipegsun, International Partnerships
Terry Glavin: China couldn't be more pleased to have Carney as prime minister, https://winnipegsun.com/uncategorized/terry-glavin-china-couldnt-be-more-pleased-to-have-carney-as-prime-minister, winnipegsun, International Relations
EDITORIAL: No data on criminals granted citizenship, https://winnipegsun.com/uncategorized/editorial-no-data-on-criminals-granted-citizenship, winnipegsun, Public Safety
Carney meets with N.B. premier province expects to be on nation-building projects list, https://globalnews.ca/news/11520020/carney-new-brunswick-softwood-lumber-nation-building-projects/, globalnews, National Development
Green finance was supposed to contribute solutions to climate change—so far it's fallen well short, https://phys.org/news/2025-11-green-contribute-solutions-climate-fallen.html, phys.org, Finance & Climate Policies
Major Power Transmission Line to Be Fast-Tracked by Carney, https://financialpost.com/pmn/business-pmn/major-power-transmission-line-to-be-fast-tracked-by-carney, financialpost, National Development
LILLEY: Mark Carney's highly-touted project list is hardly ambitious, https://torontosun.com/opinion/lilley-mark-carneys-highly-touted-project-list-is-hardly-ambitious, torontosun, National Development
Mark Carney's 'major projects' plan major disappointment: Poilievre, https://torontosun.com/news/national/mark-carneys-major-projects-plan-major-disappointment-poilievre, torontosun, National Development
