publishedAt,title,description,url,source_name,topic
2025-11-10,"Governor General hospitalized with virus, will not attend Remembrance Day ceremony",A statement sent by Rideau Hall said that Simon is 'doing well' and is currently recovering in the hospital,https://nationalpost.com/news/governor-general-hospitalized-with-virus-will-not-attend-remembrance-day,National Post,Cultural Event
2025-11-11,"Kent State vs. Akron prediction: MACtion odds, picks, best bet",Kent State is a 6.5-point underdog against Akron on Tuesday night.,https://nypost.com/2025/11/11/betting/kent-state-vs-akron-prediction-maction-odds-picks-and-best-bet/,New York Post,Unrelated News
2025-11-11,"New nation-building projects list to include mines, LNG, Iqaluit hydro: sources","Prime Minister Mark Carney is set to announce a second set of “nation-building projects,” including at least two focused on critical mineral extraction, one for exporting natural gas, and at least one transmission project, sources told CBC News.",https://www.cbc.ca/news/politics/second-list-nation-building-projects-9.6975256,CBC News,National Development
2025-11-11,The Royal Canadian Legion hosts Canada’s 2025 National Remembrance Day Ceremony,"RCMP Black Hawk fly-past honours Canada’s Fallen OTTAWA, Ontario, Nov. 11, 2025 (GLOBE NEWSWIRE) — The chilly air did not deter nearly 30,000 people who gathered at Canada’s National War Memorial for the National Remembrance Day Ceremony in Ottawa this year. …",https://financialpost.com/globe-newswire/the-royal-canadian-legion-hosts-canadas-2025-national-remembrance-day-ceremony,Financial Post,Cultural Event
2025-11-11,"Kent State vs Akron football score, live updates. Zips, Golden Flashes vie for Wagon Wheel","Mid-American Conference rivals Akron and Kent State meet in the Wagon Wheel rivalry game. Follow along here for live score updates, analysis and more.",https://www.beaconjournal.com/story/sports/college/zips/2025/11/11/akron-kent-state-football-score-wagon-wheel-game-live-updates/87198768007/,Akron Beacon Journal,Unrelated News
2025-11-12,Akron football falls to Kent State in OT despite several statistical advantages,"The Akron Zips football team had a statistical advantage over Kent State in several categories, but the Flashes prevailed in overtime. What happened?",https://www.beaconjournal.com/story/sports/college/zips/2025/11/12/ben-finley-marcel-williams-akron-zips-football-score-kent-state-wagon-wheel-game-joe-moorhead-ncaa/87226151007/,Akron Beacon Journal,Unrelated News
2025-11-12,"The world is in a new age of variable geometry, says Mark Carney","The world is in a new age of variable geometry, says Mark Carney It is time for purpose-built alliances, argues Canada’s prime minister By Mark Carney, prime?...",https://biztoc.com/x/618312dc0201ed41?ref=ff,upstract.com,International Relations
2025-11-12,"The world is in a new age of variable geometry, says Mark Carney","The world is in a new age of variable geometry, says Mark Carney It is time for purpose-built alliances, argues Canada’s prime minister By Mark Carney, prime minister of Canada The international system has been ruptured. Russia’s invasion of Ukraine, gridlock…",https://biztoc.com/x/618312dc0201ed41,Biztoc.com,International Relations
2025-11-12,Terence Corcoran: Beware calls for a ‘balanced’ trade deal with the U.S.,"Terence Corcoran: For anti-free-trade economist Oren Cass, balanced trade effectively means managed trade, with the U.S. as manager-in-chief",https://financialpost.com/opinion/terence-corcoran-balanced-trade-deal-us,Financial Post,Political Commentary
2025-11-12,Ottawa is seeking a permanent parliamentary budget officer with ‘tact and discretion’,OTTAWA — Ottawa says it’s looking to hire a permanent parliamentary budget officer — someone with “tact and discretion” _ just a few months after appointing a highly critical fiscal watchdog on an interim basis. The federal government’s list of governor-in-co…,https://financialpost.com/pmn/ottawa-is-seeking-a-permanent-parliamentary-budget-officer-with-tact-and-discretion,Financial Post,Political Party Affair
