publishedAt,title,description,url,source_name
2022-10-04,Today in Canada’s Political History: Mark Carney appointed Governor of the Bank of Canada,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2022/10/04/today-in-canadas-political-history-mark-carney-appointed-governor-of-the-bank-of-canada/,nationalnewswatch.com
2023-09-28,Mark Carney and how we all win,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/09/28/mark-carney-and-how-we-all-win/,nationalnewswatch.com
2023-11-09,Can Mark Carney save Justin Trudeau?,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/11/09/can-mark-carney-save-justin-trudeau/,nationalnewswatch.com
2024-07-28,"With Trudeau's Liberals in trouble, is Mark Carney the answer?","With the Liberals' consistently poor polling numbers, and rumours Prime Minister Justin Trudeau could be working to get former Bank of Canada governor Mark Carn...",https://www.ctvnews.ca/politics/with-trudeau-s-liberals-in-trouble-is-mark-carney-the-answer-1.6979158,ctvnews.ca
2024-09-10,Mark Carney sidesteps questions about political future after speaking with Liberal MPs,Former Bank of Canada governor Mark Carney sidestepped questions about his political ambitions on Tuesday while saying he was honoured to be asked to advise the...,https://www.cbc.ca/news/politics/mark-carney-liberal-trudeau-election-1.7319098?cmp=rss,cbc.ca
2025-01-14,"Teasing a Liberal leadership bid, Mark Carney talks change, economy with The Daily Show","Mark Carney has appeared on The Daily Show with Jon Stewart to talk about what kind of a Liberal leadership candidate he would make, Conservative Leader Pierre ...",https://www.cbc.ca/news/politics/mark-carney-jon-stewart-daily-show-1.7430594?cmp=rss,cbc.ca
2025-01-16,Mark Carney pitches himself as crisis manager in bid to lead Canada,Mark Carney kicked off his bid to replace Justin Trudeau as the head of Canada’s Liberal Party Thursday. Read more,https://financialpost.com/news/economy/carney-starts-bid-to-lead-canada-in-his-hometown-as-attacks-ramp-up,financialpost.com
2025-01-28,Mark Carney has Canada’s Conservatives running scared,"Is it Carbon Tax Carney? Canapé Carney? Redistribution Carney? Right now, Canada's Conservatives can't even settle on a nickname for their likely opponent in t...",https://www.nationalobserver.com/2025/01/28/opinion/mark-carney-canada-conservatives-running-scared,nationalobserver.com
2025-02-18,Mark Carney trouncing Liberal leadership rivals at fundraising,Former central banker Mark Carney is dominating the fundraising field in the race for the federal Liberal leadership.,https://toronto.citynews.ca/2025/02/18/mark-carney-federal-liberal-leadership-fundraising/,680news.com
2025-02-26,Mark Carney has answered some questions — but many more remain,It would be a true surprise now if Carney somehow did not become the 14th leader in the history of the Liberal Party of Canada on March 9. But even if Carney is...,https://www.cbc.ca/news/politics/liberal-leadership-debate-carney-gould-analysis-1.7469306?cmp=rss,cbc.ca
2025-03-09,Mark Carney wins Liberal Party nomination to replace Trudeau as Canada's next PM,The Liberal Party's new leader Mark Carney is expected to call a general election for late April or early May where he will go up against Conservative leader Pi...,https://www.foxnews.com/world/mark-carney-wins-liberal-party-nomination-replace-trudeau-canadas-next-pm,foxnews.com
2025-03-10,Better French and clearer answers: Even hardcore Liberals think Mark Carney needs improvement politically,"Mark Carney be Liberal leader, after a landslide win, but his skills as a politician need work, say some of his supporters.",https://nationalpost.com/news/politics/liberals-think-mark-carney-needs-improvement-politically,nationalpost.com
2025-03-10,Mark Carney elected as new Liberal leader. What’s next? - National,An early federal election call is widely expected to follow in the coming days or weeks after Mark Carney is installed as Canada's prime minister.,https://globalnews.ca/news/11074213/mark-carney-liberal-party-leadership/,globalnews.ca
2025-03-10,Canada’s Liberal Party Elects Mark Carney as Next Prime Minister,The former central banker plans to tackle U.S. tariffs with retaliatory measures.,https://foreignpolicy.com/2025/03/10/canada-mark-carney-trudeau-liberal-party-trump-tariffs-pierre-poilievre/,foreignpolicy.com
2025-03-14,Mark Carney sworn in as PM and introduces new cabinet,The new government includes 20 Trudeau-era ministers along with three new faces from the Liberal caucus.,https://www.nationalobserver.com/2025/03/14/news/mark-carney-pm-cabinet,nationalobserver.com
2025-03-15,"Prime Minister Mark Carney to visit France, U.K. for first foreign trip","Breaking News, Sports, Manitoba, Canada",https://www.winnipegfreepress.com/canada/2025/03/15/prime-minister-mark-carney-to-visit-france-u-k-for-first-foreign-trip,winnipegfreepress.com
2025-03-19,Prime Minister Mark Carney to meet with premiers on Friday,"Audrey Champoux, Carney's lead press secretary, says the prime minister has been clear that top priorities for his government include defending Canadians in the...",https://www.nationalobserver.com/2025/03/19/news/prime-minister-mark-carney-meet-premiers,nationalobserver.com
2025-03-21,Michael Taube: Heed Britain's stern warnings about Mark Carney,The British press has been far more critical of our new prime minister than our own,https://nationalpost.com/opinion/britains-stern-warnings-about-mark-carney,nationalpost.com
2025-03-24,Mark Carney to run in the Ottawa riding of Nepean,"Carney will be running in a riding adjacent to his main rival, Conservative Party Leader Pierre Poilievre, who is seeking re-election in the Ottawa-area riding ...",https://www.nationalobserver.com/2025/03/24/news/mark-carney-ottawa-riding-nepean,nationalobserver.com
2025-03-29,Conrad Black: Mark Carney has poor values,Canadians cannot possibly support his plans for global climate policy,https://nationalpost.com/opinion/conrad-black-mark-carney-has-poor-values,nationalpost.com
2025-04-24,Catherine McKenna defends Mark Carney after details emerge about his Trump call,"While Liberal Leader Mark Carney’s opponents accuse him of being dishonest about the details of his phone call with Donald Trump, one former Liberal cabinet m...",https://www.cbc.ca/radio/asithappens/catherine-mckenna-mark-carney-1.7518016?cmp=rss,cbc.ca
2025-04-29,Mark Carney wins his suburban Ottawa seat in Nepean,"Prime Minister Mark Carney will represent a suburban section of west Ottawa in the House of Commons, CBC News projects.",https://www.cbc.ca/news/canada/ottawa/canada-federal-election-2025-results-nepean-1.7516414?cmp=rss,cbc.ca
2025-05-06,Mark Carney isn’t here to play,"By letting his opponents expose the smallness of their politics, Carney’s will start to look bigger by comparison.",https://www.nationalobserver.com/2025/05/06/opinion/mark-carney-isnt-here-play,nationalobserver.com
2025-05-14,"Canadians 'weren't impressed' by second UK state visit for Trump, Mark Carney says",Newly re-elected Liberal leader Mark Carney sat down with Sky News' Sam Washington to discuss dealing with a noisy neighbour in Donald Trump and Canada's relati...,https://news.sky.com/story/canadians-werent-impressed-by-second-uk-state-visit-for-trump-mark-carney-says-13367469,news.sky.com
2025-06-06,Are Mark Carney and David Eby best friends now?,The two government leaders may have a lot in common.,https://www.straight.com/city-culture/are-mark-carney-and-david-eby-best-friends-now,straight.com
2025-07-23,Prime Minister Mark Carney set to visit birthplace in N.W.T.,FORT SMITH — Prime Minister Mark Carney is set to stop today in the town where he was born as he travels across the Northwest Territories. Carney also spent h...,https://toronto.citynews.ca/2025/07/23/prime-minister-mark-carney-set-to-visit-birthplace-in-n-w-t/,680news.com
2025-08-04,Mark Carney Pictured Hugging Man In Thong At Vancouver Pride Parade,A photograph circulating online shows Mark Carney embracing a nearly naked man clad only in a pink thong and chest harness during Vancouver’s Pride Parade.,https://dailycaller.com/2025/08/04/canada-prime-minister-mark-carney-hugging-gay-pride-vancouver-thong/,dailycaller.com
2025-09-10,Alberta premier expected to meet Prime Minister Mark Carney in Alberta's capital,Alberta Premier Danielle Smith is expected to reiterate her policy demands face-to-face with Prime Minister Mark Carney Wednesday while he's in Edmonton to meet...,https://www.cbc.ca/news/canada/edmonton/danielle-smith-alberta-mark-carney-edmonton-1.7629789?cmp=rss,cbc.ca
2025-10-07,Watch Live: Donald Trump Meets with Canadian PM Mark Carney,"President Donald Trump meets with Canadian Prime Minister Mark Carney at the White House on Tuesday, October 7.",https://www.breitbart.com/economy/2025/10/07/watch-live-donald-trump-meets-with-canadian-pm-mark-carney/,breitbart.com
2025-10-23,Mark Carney Declares New Budget Plan While Shading Trump Government,"While announcing his new budget plan on Wednesday, Mark Carney subtly threw shade at Donald Trump's U.S, government.",https://www.inquisitr.com/mark-carney-declares-new-budget-plan-while-shading-trump-government,inquisitr.com
2025-10-24,Canada Seeks New Trade Partners in Asia After Trump’s Blowup,Prime Minister Mark Carney hopes to decrease Ottawa’s dependence on Washington.,http://foreignpolicy.com/2025/10/24/canada-mark-carney-trade-talks-asia-trump-ronald-reagan-ontario-ad/,Foreign Policy
2025-10-24,Ford pulls US ad campaign after Trump halts trade talks,"With emotions running high over Canada’s trade standoff with the US, Ontario Premier Doug Ford’s attempt to take his anti-tariff message directly to Americans appears to have backfired.",https://www.nationalobserver.com/2025/10/24/news/ford-us-ad-campaign-trump-trade-tariffs,National Observer
2025-10-25,Shadow of Trump's trade war follows Carney to Malaysia,The prime minister is due to arrive in Malaysia for the summit of southeast Asian nations — looking to advance free trade talks there after the recent scuttling of negotiations with the United States.,https://www.cbc.ca/news/politics/trade-canada-trump-carney-asia-9.6953292,CBC News
2025-10-25,"With his ‘despicable’ RCMP rant, Pierre Poilievre is cementing his Daffy Duck status","The next test of the Bugs-Daffy dichotomy in Canada will be whether Carney can outwit Poilievre to pass his budget and remain in power. Heading up a minority government, he’ll need every tool at his disposal — maybe even the giant mallet — to rally enough vot…",https://www.nationalobserver.com/2025/10/25/opinion/pierre-poilievre-mark-carney-rcmp,National Observer
2025-10-25,Trump says he's hiking 'tariff on Canada' by 10% over Ontario government ad,"U.S. President Donald Trump has announced on social media he will be increasing “the Tariff on Canada” by 10 per cent “over and above what they are paying now"" because of an advertisement by the Ontario government.",https://www.cbc.ca/news/politics/trump-says-he-s-hiking-tariff-on-canada-by-10-over-ontario-government-ad-9.6953786,CBC News
2025-10-25,Trump Says He’ll Raise Canada Tariff by 10% After Reagan Ad,President Donald Trump said he’s increasing US tariffs on Canada by 10% in response to an anti-tariff advertisement by the province of Ontario that is roiling one of the world’s biggest bilateral trade relationships.,https://financialpost.com/pmn/business-pmn/trump-says-hell-raise-canada-tariff-by-10-after-reagan-ad,Financial Post
2025-10-25,U of T creates emergency fund for researchers facing U.S. funding cuts,University of Toronto has created an emergency fund to support its researchers who are facing unexpected losses in funding due to cuts and policy changes at U.S. federal research agencies.,https://www.cbc.ca/news/canada/toronto/university-of-toronto-research-funding-9.6953829,CBC News
