line_number,publishedAt,title,description,url,source_name,topic
6,2022-10-04,Today in Canada’s Political History: Mark Carney appointed Governor of the Bank of Canada,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2022/10/04/today-in-canadas-political-history-mark-carney-appointed-governor-of-the-bank-of-canada/,nationalnewswatch.com,Historical Background
12,2023-09-28,Mark Carney and how we all win,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/09/28/mark-carney-and-how-we-all-win/,nationalnewswatch.com,Early Political Speculation
18,2023-11-09,Can Mark Carney save Justin Trudeau?,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/11/09/can-mark-carney-save-justin-trudeau/,nationalnewswatch.com,Early Political Speculation
24,2024-07-28,"With Trudeau's Liberals in trouble, is Mark Carney the answer?","With the Liberals' consistently poor polling numbers, and rumours Prime Minister Justin Trudeau could be working to get former Bank of Canada governor Mark Carn...",https://www.ctvnews.ca/politics/with-trudeau-s-liberals-in-trouble-is-mark-carney-the-answer-1.6979158,ctvnews.ca,Early Political Speculation
30,2024-09-10,Mark Carney sidesteps questions about political future after speaking with Liberal MPs,Former Bank of Canada governor Mark Carney sidestepped questions about his political ambitions on Tuesday while saying he was honoured to be asked to advise the...,https://www.cbc.ca/news/politics/mark-carney-liberal-trudeau-election-1.7319098?cmp=rss,cbc.ca,Leadership Campaign
36,2025-01-14,"Teasing a Liberal leadership bid, Mark Carney talks change, economy with The Daily Show","Mark Carney has appeared on The Daily Show with Jon Stewart to talk about what kind of a Liberal leadership candidate he would make, Conservative Leader Pierre ...",https://www.cbc.ca/news/politics/mark-carney-jon-stewart-daily-show-1.7430594?cmp=rss,cbc.ca,Leadership Campaign
42,2025-01-16,Mark Carney pitches himself as crisis manager in bid to lead Canada,Mark Carney kicked off his bid to replace Justin Trudeau as the head of Canada’s Liberal Party Thursday. Read more,https://financialpost.com/news/economy/carney-starts-bid-to-lead-canada-in-his-hometown-as-attacks-ramp-up,financialpost.com,Leadership Campaign
48,2025-01-28,Mark Carney has Canada’s Conservatives running scared,"Is it Carbon Tax Carney? Canapé Carney? Redistribution Carney? Right now, Canada's Conservatives can't even settle on a nickname for their likely opponent in t...",https://www.nationalobserver.com/2025/01/28/opinion/mark-carney-canada-conservatives-running-scared,nationalobserver.com,Leadership Campaign
54,2025-02-16,Mark Carney says former prime minister Stephen Harper asked him to be finance minister,Liberal leadership candidate and former Bank of Canada governor Mark Carney said on Sunday that former prime minister Stephen Harper asked him to join his cabin...,https://www.cbc.ca/news/politics/mark-carney-stephen-harper-1.7460897?cmp=rss,cbc.ca,Leadership Campaign
60,2025-02-26,Tories demand Mark Carney comply with conflict of interest rules - National,The federal Conservatives have demanded that Liberal leadership candidate Mark Carney comply with the conflict of interest rules that apply to MPs and cabinet m...,https://globalnews.ca/news/11050623/mark-carney-parliament-conflict-of-interest-rules/,globalnews.ca,Leadership Campaign
