publishedAt,title,description,url,source_name,topic,sentiment
2022-10-20,"Mark Carney says fiscal discipline 'imperative' to combat global inflation, instability","Mark Carney says it's time to use prudent fiscal policy, reduce deficits to fight global financial challenges. Read on.",https://financialpost.com/news/economy/mark-carney-fiscal-discipline-combat-inflation,financialpost.com,Federal Budget,Neutral
2025-02-16,Liberal leadership hopeful Mark Carney says he'd run a deficit to 'invest and grow' Canada's economy,"Liberal leadership hopeful Mark Carney confirmed Sunday that a federal government led by him would run a deficit “to invest and grow” Canada’s economy, bu...",https://www.cbc.ca/news/politics/liberal-leadership-hopeful-mark-carney-says-he-d-run-a-deficit-to-invest-and-grow-canada-s-economy-1.7460774?cmp=rss,cbc.ca,Federal Budget,Neutral
2025-09-08,Prime Minister Mark Carney details tariff relief funding for Atlantic businesses,"Breaking News, Sports, Manitoba, Canada",https://www.winnipegfreepress.com/business/2025/09/08/prime-minister-mark-carney-details-tariff-relief-funding-for-atlantic-businesses,winnipegfreepress.com,Federal Budget,Neutral
2025-10-23,Mark Carney Declares New Budget Plan While Shading Trump Government,"While announcing his new budget plan on Wednesday, Mark Carney subtly threw shade at Donald Trump's U.S, government.",https://www.inquisitr.com/mark-carney-declares-new-budget-plan-while-shading-trump-government,inquisitr.com,Federal Budget,Positive
2025-10-27,Business Brief: The crisis behind the budget,"Good morning. Remember the Great Productivity Debate of 2024? Well, just days removed from a federal budget – the first under Prime Minister Mark Carney – the debate is back. The current conversation on productivity is in focus today, along with updates on gl…",https://biztoc.com/x/df1fbfa648029999,Biztoc.com,Federal Budget,Neutral
2025-10-27,"'This is not a game,' Carney says as he signals he's ready to fight election over federal budget","Prime Minister Mark Carney signalled at the close of the APEC summit that he'd be prepared to fight an election over the upcoming federal budget — remarks that set the stage for a parliamentary showdown over the fiscal plan,",https://www.cbc.ca/news/politics/carney-budget-opposition-canada-election-9.6963055,CBC News,Federal Budget,Positive
2025-10-27,Champagne promises a ‘generational’ budget — optimistic opposition parties will see reason to support,"On the eve of presenting his first budget, Finance Minister François-Philippe Champagne suggested the hotly anticipated document will have something for every Canadian — even the opposition parties.",https://www.cbc.ca/news/politics/champagne-budget-caraney-shoe-9.6964589,CBC News,Federal Budget,Positive
2025-10-27,What a swelling federal deficit could mean for Canada's AAA credit rating,Canada's federal deficit could go as high as $100 billion this fiscal year. Here's what that means for its AAA credit rating. Find out more.,https://financialpost.com/news/economy/federal-deficit-canada-aaa-credit-rating,Financial Post,Federal Budget,Negative
2025-10-27,How soaring government debt could play a starring role in the next great financial crisis,"With US$37 trillion in debt and a rising deficit, the next great financial calamity could be. But The U.S. is not alone.",https://financialpost.com/feature/how-soaring-government-debt-could-play-a-starring-role-in-the-next-great-financial-crisis,Financial Post,Federal Budget,Neutral
2025-11-12,Ottawa is seeking a permanent parliamentary budget officer with ‘tact and discretion’,OTTAWA — Ottawa says it’s looking to hire a permanent parliamentary budget officer — someone with “tact and discretion” _ just a few months after appointing a highly critical fiscal watchdog on an interim basis. The federal government’s list of governor-in-co…,https://financialpost.com/pmn/ottawa-is-seeking-a-permanent-parliamentary-budget-officer-with-tact-and-discretion,Financial Post,Federal Budget,Neutral
2025-11-12,Bank of Canada Mulled Delaying Cut Until After Carney’s Budget,Bank of Canada officials discussed delaying a rate cut until they had more details about Prime Minister Mark Carney’s budget and US trade policy.,https://financialpost.com/pmn/business-pmn/bank-of-canada-mulled-delaying-cut-until-after-carneys-budget,Financial Post,Federal Budget,Neutral
2025-11-12,Canada Eyes Joining Eurovision,"Canada is a long way from Europe, but that isn't stopping it from trying to crack the Eurovision lineup. A surprise note in the nation's recent federal budget revealed that the government and CBC/Radio-Canada are exploring a bid to join the famously over-the-…",https://www.newser.com/story/378571/canada-eyes-joining-eurovision.html,Newser,Federal Budget,Neutral
2025-11-12,Ottawa seeking a permanent parliamentary budget officer with 'tact and discretion',"Ottawa says it's looking to hire a permanent parliamentary budget officer — someone with ""tact and discretion"" — just a few months after appointing a critical fiscal watchdog on an interim basis.",https://www.cbc.ca/news/politics/parliamentary-budget-officer-job-posting-9.6976713,CBC News,Federal Budget,Neutral
2025-11-13,"Government spends $19B on external services, despite vow to trim spending",Government records show the federal government spent more than $19 billion on external professional and special services in 2024-25 — an increase of almost $2 billion since last year and of about $8.5 billion since 2020.,https://www.cbc.ca/news/politics/government-spending-outside-contractors-9.6978363,CBC News,Federal Budget,Negative
2025-11-14,Canada Budget Watchdog Doubts Carney Can Fulfill Deficit Promise,Canada’s budget watchdog is skeptical Prime Minister Mark Carney’s government will fulfill one of its key fiscal pledges.,https://financialpost.com/pmn/business-pmn/canada-budget-watchdog-doubts-carney-can-fulfill-deficit-promise,Financial Post,Federal Budget,Negative
2025-11-14,"Energy stocks rise on major projects enthusiasm, while U.S. stock markets were mixed","TORONTO — Canada’s main stock index finished higher on Friday amid gains in energy stocks following more major projects announcements, while U.S. markets were mixed. Theresa Shutt, chief investment officer at Harbourfront Wealth Management, said gains in the …",https://financialpost.com/pmn/energy-stocks-rise-on-major-projects-enthusiasm-while-u-s-stock-markets-were-mixed,Financial Post,Federal Budget,Negative
2025-11-15,Is Mark Carney's budget a Progressive Conservative budget?,"Attempting perhaps to turn a story about his own leadership into a story about whether the media have unfairly focused on Conservative dissent, Pierre Poilievre challenged reporters to pay as much attention to criticism levelled against the federal budget by …",https://www.cbc.ca/news/politics/carney-dentremont-poilievre-budget-analysis-9.6979682,CBC News,Federal Budget,Neutral
2025-11-16,Carney Searches for Votes to Pass Budget and Avoid Snap Election,Prime Minister Mark Carney’s government faces a decisive moment on Monday when Canada’s House of Commons votes on a proposed budget that would increase borrowing to spend on the military and infrastructure.,https://financialpost.com/pmn/business-pmn/carney-searches-for-votes-to-pass-budget-and-avoid-snap-election,Financial Post,Federal Budget,Neutral
2025-10-20,Canada to form financial crimes agency to tackle online scams,"The Government of Canada has announced plans to form the country’s first-ever financial crimes agency in an effort to combat online scams. Announced as part of a broader “Anti-Fraud Strategy,” the government says this agency will “bring together the required …",https://mobilesyrup.com/2025/10/20/canada-financial-crimes-agency-online-scams/,MobileSyrup,Federal Budget,Positive
2025-10-20,Poilievre calls on Carney to keep federal deficit under $42B in next month's budget,Conservative Leader Pierre Poilievre is demanding that Prime Minister Mark Carney cut taxes and keep the federal deficit under $42 billion in the coming budget.,https://www.nationalobserver.com/2025/10/20/news/poilievre-calls-carney-keep-federal-deficit-under-42b-next-months-budget,National Observer,Federal Budget,Negative
