publishedAt,title,description,url,source_name,topic,sentiment
2022-01-31, Ex-Central Bank Chief Mark Carney Adds Consulting Role to Job Portfolio," ""Mark Carney",  the former head of the central banks of the U.K. and Canada and the U.N.’s point man on climate change and finance,"  has taken on a new role advis...""",International Relations, online.wsj.com
2025-03-12, Mark Carney To Be Sworn In As Canada PM Tomorrow," ""Former central banker Mark Carney will be sworn in as Canada's next prime minister on Friday morning along with his cabinet","  the governor general's office annou...""", https://www.ndtv.com/world-news/mark-carney-to-be-sworn-in-as-canada-pm-tomorrow-7911974,International Relations, International Relations
2025-03-15," ""Prime Minister Mark Carney to visit France","  U.K. for first foreign trip"""," ""Breaking News",  Sports,International Relations,"  Canada"""
2025-03-28, Trump and new Canadian Prime Minister Mark Carney speak on phone, U.S. President Donald Trump said Friday that his first call with new Canadian Prime Minister Mark Carney was “extremely productive, https://japantoday.com/category/world/trump-and-newly-minted-canadian-prime-minister-mark-carney-share-a-phone-call, japantoday.com,International Relations, Neutral
2025-05-14," ""Canadians 'weren't impressed' by second UK state visit for Trump","  Mark Carney says""", Newly re-elected Liberal leader Mark Carney sat down with Sky News' Sam Washington to discuss dealing with a noisy neighbour in Donald Trump and Canada's relati..., https://news.sky.com/story/canadians-werent-impressed-by-second-uk-state-visit-for-trump-mark-carney-says-13367469,International Relations, International Relations
2025-07-30, Canada's Prime Minister Mark Carney says his country will recognize a Palestinian state in September, Canada's Prime Minister Mark Carney says his country will recognize a Palestinian state in September, https://abcnews.go.com/US/wireStory/canadas-prime-minister-mark-carney-country-recognize-palestinian-124224024, abcnews.go.com,International Relations, Neutral
2025-07-30, PM Mark Carney: Canada Will Recognize Palestine," ""CTV News reports: Canada plans to recognize the state of Palestine at the next session of the United Nations General Assembly in September","  Prime Minister Mark ...""", https://www.joemygod.com/2025/07/pm-mark-carney-canada-will-recognize-palestine/,International Relations, International Relations
2025-10-24, Michael Kovrig warns of China's 'diplomatic wrapping paper' as Carney pursues deeper ties," ""As Prime Minister Mark Carney aims to meet with Chinese President Xi Jinping amid a U.S. trade war","  a former Canadian diplomat who spent more than a thousand days imprisoned in China is warning Ottawa to remember the threat China poses to Canada.""", https://www.cbc.ca/news/politics/michael-kovrig-diplomat-china-carney-trade-9.6952748,International Relations, International Relations
2025-10-25, Carney pitching Canada as reliable trade partner for Southeast Asia," ""Prime Minister Mark Carney is pitching Canada as a reliable partner for Southeast Asia","  one that's committed to rules-based trade.""", https://toronto.citynews.ca/2025/10/25/carney-aims-to-sell-canada-as-reliable-partner-for-trade-in-southeast-asia/,International Relations, International Relations
2025-10-25, US-China trade tensions appear to cool before upcoming Trump-Xi meeting, U.S.-China trade tensions appear to have cooled before an upcoming meeting between President Donald Trump and Chinese leader Xi Jinping. Each side is saying that a deal is nearing between the world's two largest economies. Any agreement would be a relief to i…, https://apnews.com/article/donald-trump-asia-malaysia-china-japan-55a147dce68e6d8fa70c2b858249c7ec, Associated Press,International Relations, Neutral
2025-10-26, US and China say trade deal drawing closer as Trump and Xi prepare for meeting," ""China's top trade negotiator",  Li Chenggang,"  told reporters the two had reached a """"preliminary consensus",International Relations,  Scott Bessent
2025-10-26, Here's the biggest news you missed this weekend, President Donald Trump and Chinese President Xi Jinping are expected to reach a deal to avert a new 100% U.S. tariff on Chinese goods., https://www.nbcnews.com/news/us-news/weekend-rundown-october-26-rcna239728, NBC News,International Relations, Neutral
2025-10-27, Prime Minister Mark Carney says he plans to meet with Chinese leader at APEC, KUALA LUMPUR — Prime Minister Mark Carney says he plans to meet with Chinese President Xi Jinping this week. Carney says the pair will have a discussion at th..., https://toronto.citynews.ca/2025/10/27/trump-says-he-wont-be-meeting-with-carney-for-a-long-time/, 680news.com,International Relations, Neutral
2025-10-27, Malaysia's Anwar calls for dialogue over coercion at East Asia summit, Malaysian Prime Minister Anwar Ibrahim has urged Asia-Pacific leaders to prioritize dialogue and cooperation over confrontation, https://abcnews.go.com/International/wireStory/malaysias-anwar-calls-dialogue-coercion-east-asia-summit-126891407, ABC News,International Relations, Neutral
2025-10-27, China fills US void at ASEAN Summit with push for trade multilateralism, KUALA LUMPUR (Reuters) -China pressed on Monday for open trade and stronger economic ties at a regional summit in Malaysia dominated by the shadow of steep U..., https://www.yahoo.com/news/articles/china-fills-us-void-asean-134031731.html, Yahoo Entertainment,International Relations, Neutral
2025-10-27, Canada Turns to China," """"""With U.S. relations at a new low","  Prime Minister Mark Carney said on Monday that he will meet with China's top leader — signaling a pivot to Asia and a potential breakthrough in ties after""", https://politicalwire.com/2025/10/27/canada-turns-to-china/,International Relations, International Relations
2025-10-27, Mexico's Sheinbaum says U.S. extending trade deadline for several weeks," ""The U.S. is extending a deadline to reach a trade deal with Mexico for several weeks","  President Claudia Sheinbaum said. Read more here""", https://financialpost.com/news/mexicos-sheinbaum-says-us-extending-trade-deadline-for-several-weeks,International Relations, International Relations
2025-10-28," ""Sanctions-evading Russian oil ships could pollute the Arctic","  PM's adviser says""", Some of Canada's allies are praising Ottawa's work on preventing Russia from smuggling oil through concealed ships — ships that Ottawa fears could someday unleash an environmental cataclysm in the Arctic., https://www.nationalobserver.com/2025/10/28/news/sanctions-evading-russian-oil-ships-could-pollute-arctic-pms-adviser-says,International Relations, International Relations
2025-10-28, Canada Needs a New Bestie, Trump's attacks on long-standing allies are changing the balance of global power., https://www.theatlantic.com/politics/archive/2025/10/canada-us-foreign-policy-trump/684719/, The Atlantic,International Relations, Positive
2025-11-10," ""Toronto City Hall to fly Palestine flag next week","  recognizing its independence day""", The City of Toronto approved a request from a non-profit to fly the Palestine flag at City Hall on Nov. 17 for the first time., https://www.cbc.ca/news/canada/toronto/city-hall-flying-palestine-flag-9.6973885,International Relations, International Relations
2025-11-12," ""The world is in a new age of variable geometry"," says Mark Carney"""," ""The world is in a new age of variable geometry", says Mark Carney It is time for purpose-built alliances,International Relations, prime minister of Canada The international system has been ruptured. Russia’s invasion of Ukraine
2025-11-13, Nova Scotia 'recalibrating' its relationship with China as minister attends fisheries expo, Premier Tim Houston says a change in the dynamic between federal government officials for Canada and China has opened the door to Nova Scotia representatives beginning to resume closer ties with the province’s second-largest trading partner., https://www.cbc.ca/news/canada/nova-scotia/china-lobster-seafood-exports-tariffs-kent-smith-tim-houston-9.6977898, CBC News,International Relations, Positive
2025-11-13," ""Saab CEO confirms talks with Ottawa"," Bombardier for Gripen fighter jet production"""," ""Saab CEO confirms talks with Ottawa"," Bombardier for Gripen fighter jet productiontheglobeandmail.com""",International Relations, The Globe And Mail
2025-11-14, Bolivia’s Turn From Socialist Rule," ""Socialism may be on the rise in New York with the election of Zohran Mamdani"," but the story is different elsewhere. People may be familiar with... Read More The post Bolivia’s Turn From Socialist Rule appeared first on The Daily Signal.""", https://www.dailysignal.com/2025/11/14/bolivias-turn-from-socialist-rule/,International Relations, International Relations
2025-11-15, Carney heads to the UAE amid questions about atrocities in Sudan," ""Prime Minister Mark Carney will travel to the United Arab Emirates next week"," as both that country and Canada face questions over alleged links to actrocities in Sudan.""", https://www.cbc.ca/news/world/sudan-uae-canada-carney-9.6976682,International Relations, International Relations
2025-11-17, Swedish royals head to Canada as country lobbies for a slice of defence spending," ""The Swedish royal family is paying a rare", three-day state visit to Canada this week," bringing with them a delegation of top government ministers and representatives from dozens of Swedish companies.""",International Relations, Citynews.ca
2025-10-20, The Embarrassing Demotion of Europe, How the continent became a second-class citizen on the global stage., http://foreignpolicy.com/2025/10/20/europe-trump-nato-power-diplomacy-tariffs/, Foreign Policy,International Relations, Negative
2025-10-20," ""Why U.S. investors are eyeing the Canadian oilpatch"," even as oil prices dip"""," ""There's growing interest in the Canadian oilpatch coming from south of the border. Experts say the trend is driven in part by a shift in political rhetoric in this country"," along with better economics for the Canadian oilpatch compared with the U.S.""",International Relations, CBC News
2025-10-20, Wang Yi Holds Talks with Canadian Foreign Minister Anita Anand," ""On October 17", 2025," Member of the Political Bureau of the CPC Central Committee and Foreign Minister Wang Yi held talks with Canadian Foreign Minister Anita Anand in Beijing.""",International Relations, Globalsecurity.org
2025-10-19, Is Canada's F-35 review irritating the United States? McGuinty suggests it's a 'misnomer', Defence Minister David McGuinty says the question of irritants in Canada-U.S. defence talks is “maybe a bit of a misnomer” and the two countries are working together on shared initiatives like integrated air missile defence systems., https://www.cbc.ca/news/politics/mcguinty-f35-review-american-irritants-9.6944096, CBC News,International Relations, Neutral
2025-10-19, Minister Anand meets with China's Director of the Office of the Central Commission for Foreign Affairs and Minister of Foreign Affairs Wang Yi," ""Today", the Honourable Anita Anand, Minister of Foreign Affairs,International Relations, Wang Yi
2025-11-19, Carney heads to Abu Dhabi as alarm grows over possible UAE role in Sudan's civil war, kamloopsthisweek, https://www.castanet.net/news/Canada/584815/Carney-heads-to-Abu-Dhabi-as-alarm-grows-over-possible-UAE-role-in-Sudan-s-civil-war, Kamloops This Week,International Relations, Negative
2025-11-19, Carney heads to U.A.E. hoping to sign investment pact with gulf nation," ""Prime Minister Mark Carney is slated to meet with United Arab Emirates President Sheikh Mohamed bin Zayed Al Nahyan in Abu Dhabi with the explicit focus on expanding the Canada-U.A.E. economic partnership in key sectors such as energy", agriculture," infrastructure and AI.""",International Relations, CBC.ca
2025-11-18, Carney off to the United Arab Emirates tonight before heading to G20 summit, OTTAWA — Prime Minister Mark Carney is travelling to the United Arab Emirates tonight before making his way to South Africa for the G20 Leaders’ Summit later this week., https://www.baytoday.ca/national-news/carney-off-to-the-united-arab-emirates-tonight-before-heading-to-g20-summit-11507712, BayToday,International Relations, Positive
2025-11-19," ""In the news today: PM travelling to UAE", alert system test," HBC art auction"""," ""Here is a roundup of stories from The Canadian Press designed to bring you up to speed&#8230; Carney heads to Abu Dhabi for investment talks Prime Minister Mark Carney is on his way to Abu Dhabi today",International Relations, https://winnipegsun.com/pmn/in-the-news-today-pm-travelling-to-uae-alert-system-test-hbc-art-auction
2025-11-18, Prime Minister Mark Carney departs for another overseas trip," ""PM will meet leaders in UAE"," attend G20 summit in South Africa""", https://torontosun.com/news/national/pm_another_trip,International Relations, International Relations
