publishedAt,title,description,url,source_name,topic,sentiment
2023-05-01, Should Trudeau lead the Liberals against Poilievre? Mark Carney won’t say and this could be why, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/04/30/should-trudeau-lead-the-liberals-against-poilievre-mark-carney-wont-say-and-this-could-be-why/, nationalnewswatch.com,Leadership Campaign, Neutral
2023-09-29, Mark Carney jumpstarts Trudeau death watch, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/09/29/mark-carney-jumpstarts-trudeau-death-watch/, nationalnewswatch.com,Leadership Campaign, Negative
2023-10-05, Fed up with career politicians? Mark Carney could be the cure for that, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/10/05/fed-up-with-career-politicians-mark-carney-could-be-the-cure-for-that/, nationalnewswatch.com,Leadership Campaign, Positive
2023-10-07, Sabrina Maddeaux: Mark Carney is not cut out for the top job, He's just another elitist who has no idea what life is like for the average Canadian, https://nationalpost.com/opinion/mark-carney-is-not-cut-out-for-the-top-job, nationalpost.com,Leadership Campaign, Negative
2023-11-02, Mark Carney says he hasn’t ruled out Liberal leadership run, National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit., https://www.nationalnewswatch.com/2023/11/02/mark-carney-says-he-hasnt-ruled-out-liberal-leadership-run/, nationalnewswatch.com,Leadership Campaign, Neutral
2024-07-11," ""Mark Carney would be ‘outstanding’ addition to federal politics","  Trudeau says"""," ""OTTAWA — Prime Minister Justin Trudeau says former Bank of Canada governor Mark Carney would be an “outstanding addition” to federal politics","  and that he...""",Leadership Campaign, 680news.com
2024-07-19," ""Who is Mark Carney","  and why is Justin Trudeau courting him? - National""", Mark Carney is being openly courted by Prime Minister Justin Trudeau. Here's why the former Bank of Canada governor might end up a star candidate for the Libera..., https://globalnews.ca/news/10631423/who-is-mark-carney-liberals-justin-trudeau-chrystia-freeland/,Leadership Campaign, Leadership Campaign
2024-09-09, Former Bank of Canada Governor Mark Carney to join Liberal Party as special adviser: sources," ""Former Bank of Canada Governor Mark Carney will be joining the Liberal Party as a special adviser","  sources tell CTV News.""", https://www.ctvnews.ca/politics/article/former-bank-of-canada-governor-mark-carney-to-join-liberal-party-as-special-adviser/,Leadership Campaign, Leadership Campaign
2024-09-09, Mark Carney joins Liberals' economic growth task force," ""Mark Carney is joining the Liberal Party of Canada to help develop the party's economic strategy. In a news release issued Monday","  the party said Carney will ch...""", https://www.cbc.ca/news/politics/mark-carney-liberals-economic-task-force-1.7317833?cmp=rss,Leadership Campaign, Leadership Campaign
2024-10-22, Mark Carney says he’s ‘taking steps’ for possible electoral run - National, Mark Carney signalled he's considering a future electoral run while also taking shots at Conservative Leader Pierre Poilievre in a recent interview., https://globalnews.ca/news/10824065/mark-carney-electoral-run/, globalnews.ca,Leadership Campaign, Neutral
2025-01-08, Mark Carney would struggle to distance himself from the Trudeau era," ""Mark Carney",  the former governor of the Bank of Canada and Bank of England,"  is still deciding whether he wants the Liberal crown. But if Liberals have any hope ...""",Leadership Campaign, nationalobserver.com
2025-01-15, Mark Carney to launch bid for the Liberal leadership in Edmonton on Thursday," ""Mark Carney will launch his candidacy for the Liberal Party leadership at an event in Edmonton on Thursday","  according to a notice from Calgary Skyview MP George...""", https://www.cbc.ca/news/politics/mark-carney-launch-liberal-edmonton-1.7431603?cmp=rss,Leadership Campaign, Leadership Campaign
2025-01-16, Mark Carney is expected to announce his Liberal leadership bid today from Alberta, Former finance minister Chrystia Freeland and government House leader Karina Gould are also expected to enter the race in the coming days., https://www.nationalobserver.com/2025/01/16/news/mark-carney-announce-liberal-leadership-bid-alberta, nationalobserver.com,Leadership Campaign, Neutral
2025-01-16, Mark Carney launching his Liberal leadership bid from Alberta," ""OTTAWA — Mark Carney is set to unveil his Liberal leadership campaign this afternoon in Edmonton","  ending nearly a decade of speculation about his political am...""", https://toronto.citynews.ca/2025/01/16/mark-carney-launching-his-liberal-leadership-bid-from-alberta/,Leadership Campaign, Leadership Campaign
2025-01-20, Liberal leadership race: Mark Carney vs. Chrystia Freeland, The two frontrunners vying to replace Justin Trudeau as Prime Minister and Liberal Party leader have officially launched their campaigns., https://toronto.citynews.ca/2025/01/20/liberal-leadership-race-carney-freeland-big-story-podcast/, 680news.com,Leadership Campaign, Neutral
2025-01-21," ""Guilbeault","  other cabinet ministers back Mark Carney as next Liberal leader"""," ""Former central banker Mark Carney picked up a handful of cabinet endorsements on Tuesday",  including from the government's most vocal climate champion,Leadership Campaign, https://www.cbc.ca/news/politics/guilbeault-carney-freeland-endorsements-1.7437240?cmp=rss
2025-01-22, Mark Carney gains four more key endorsements in Liberal leadership race," ""On Tuesday",  Indigenous Services Minister Patty Hajdu,"  Crown-Indigenous Relations and Northern Affairs Minister Gary Anandasangaree and former housing minister S...""",Leadership Campaign, nationalobserver.com
2025-01-25, Transport Minister Anita Anand endorses Mark Carney for Liberal leader, Transport Minister Anita Anand announced Saturday afternoon she’s backing Mark Carney for Liberal leader — another key endorsement as more of Prime Minister..., https://www.cbc.ca/news/politics/anand-endorses-carney-liberal-leader-1.7441756?cmp=rss, cbc.ca,Leadership Campaign, Positive
2025-02-13, Liberal leadership candidate Mark Carney addresses Trump,  Canada’s economy in Kelowna Carney addressed President Donald Trump's plan to make Canada the 51st state as well as his ongoing tariff threats., https://globalnews.ca/news/11016777/liberal-leadership-candidate-mark-carney-kelowna/, globalnews.ca,Leadership Campaign, Positive
2025-02-18, Mark Carney trouncing Liberal leadership rivals at fundraising, Former central banker Mark Carney is dominating the fundraising field in the race for the federal Liberal leadership., https://toronto.citynews.ca/2025/02/18/mark-carney-federal-liberal-leadership-fundraising/, 680news.com,Leadership Campaign, Positive
2025-02-20, Finance Minister Dominic LeBlanc endorses Mark Carney for Liberal leader," ""LeBlanc’s endorsement adds to a sizeable number of Liberal MPs already behind Carney","  with more than 80 backing his candidacy so far.""", https://nationalpost.com/news/politics/dominic-leblanc-endorses-mark-carney,Leadership Campaign, Leadership Campaign
2025-02-24, Liberal leadership hopeful Mark Carney pledges temporary cap on immigration, Carney is also pledging to double the pace of new housing construction over a decade., https://nationalpost.com/news/canada/liberal-leadership-hopeful-mark-carney-pledges-temporary-cap-on-immigration, nationalpost.com,Leadership Campaign, Neutral
2025-02-25, Bonnie Crombie endorses Mark Carney as federal Liberal leader," ""Carney currently leads in endorsements",  polling and fundraising,"  and he's the subject of frequent attacks from Poilievre and his caucus.""",Leadership Campaign, 680news.com
