publishedAt,title,description,url,source_name,topic,sentiment
2021-09-21, Mark Carney says net-zero plan to be ‘norm’ for public firms in coming years, Carney says 'a third to 40 per cent' of all global financial assets will be linked to a net-zero objective, https://financialpost.com/news/economy/mark-carney-says-net-zero-plan-to-be-norm-for-public-firms-in-coming-years, financialpost.com,National Development, Positive
2024-10-03," ""Mark Carney to release book ‘The Hinge’","  a look at Canada’s ‘path forward’"""," ""Breaking News",  Sports,National Development,"  Canada"""
2025-03-12, Mark Carney will become Canada's 24th prime minister on Friday, , https://www.nationalobserver.com/2025/03/12/news/mark-carney-canada-24th-prime-minister-friday, nationalobserver.com,National Development, Neutral
2025-03-19, Prime Minister Mark Carney set to host meeting with Canada’s premiers Friday, OTTAWA — Prime Minister Mark Carney is hosting a meeting with Canada’s premiers on Friday. The Prime Minister’s Office and the office of Ontario Premier D..., https://toronto.citynews.ca/2025/03/18/prime-minister-mark-carney-set-to-host-meeting-with-canadas-premiers-friday/, 680news.com,National Development, Neutral
2025-03-19, Prime Minister Mark Carney to meet with premiers on Friday," ""Audrey Champoux",  Carney's lead press secretary,"  says the prime minister has been clear that top priorities for his government include defending Canadians in the...""",National Development, nationalobserver.com
2025-03-21, Prime Minister Mark Carney hosting a meeting with Canada’s premiers today, OTTAWA — Prime Minister Mark Carney is hosting Canada’s premiers today in Ottawa as the provinces grapple with the effects of Chinese and U.S. tariffs. The ..., https://toronto.citynews.ca/2025/03/21/prime-minister-mark-carney-hosting-a-meeting-with-canadas-premiers-today/, 680news.com,National Development, Positive
2025-04-20, Mark Carney lays out his plan for 'the biggest crisis of our lifetimes', Liberal Leader Mark Carney framed his fiscal and spending plan on Saturday in terms of a crisis. Conservative Leader Pierre Poilievre dismissed it as a 'spendin..., https://www.cbc.ca/news/politics/mark-carney-lays-out-his-plan-for-the-biggest-crisis-of-our-lifetimes-1.7514504?cmp=rss, cbc.ca,National Development, Neutral
2025-05-09, Prime Minister Mark Carney to unveil his new cabinet on Tuesday, Prime Minister Mark Carney is set to unveil his new cabinet at a swearing-in ceremony at Rideau Hall at 10:30 a.m. ET on Tuesday., https://toronto.citynews.ca/2025/05/09/carney-cabinet-announcement/, 680news.com,National Development, Neutral
2025-05-13, Mark Carney unveils his crisis cabinet," ""Standing outside Rideau Hall on Tuesday","  Mark Carney said his new cabinet — the first real cabinet of his time as prime minister — was """"purpose-built for ...""", https://www.cbc.ca/news/politics/carney-cabinet-crisis-analysis-1.7534209?cmp=rss,National Development, National Development
2025-06-18, Is Mark Carney turning his back on climate action?," ""Mark Carney has the chance to differentiate Canada from the U.S. and demonstrate his leadership on climate. Instead",  at the G7 summit and beyond,"  he seems to ha...""",National Development, theconversation.com
