publishedAt,title,description,url,source_name,topic,sentiment
2021-05-28,Pierre Poilievre vs Mark Carney: A heated exchange on pipelines,"At one point, Poilievre accuses Carney of being a Davos elite",https://financialpost.com/commodities/energy/oil-gas/pierre-poilievre-vs-mark-carney-a-heated-exchange-on-pipelines,financialpost.com,Political Commentary,Neutral
2023-02-28,"Mark Carney says governments, boardrooms need to think harder about ‘when things go wrong’ with climate",National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/02/28/mark-carney-says-governments-boardrooms-need-to-think-harder-about-when-things-go-wrong-with-climate/,nationalnewswatch.com,Political Commentary,Negative
2023-08-21,Mark Carney to lead Bloomberg's board amid overhaul,Michael Bloomberg has appointed a CEO to his Bloomberg empire and installed a board of directors headed by Mark Carney. Keep reading,https://financialpost.com/financial-times/mark-carney-lead-bloomberg-board-overhaul,financialpost.com,Political Commentary,Neutral
2024-01-17,Mark Carney sees 'massive disconnect' in green finance rhetoric,Mark Carney says there’s money to be made investing in green energy and financiers who say otherwise aren’t paying attention. Read on.,https://financialpost.com/fp-finance/mark-carney-massive-disconnect-green-finance-rhetoric,financialpost.com,Political Commentary,Negative
2024-07-15,What would Mark Carney as finance minister mean for Canada's climate ambitions?,Will Mark Carney join the Liberal’s inner ranks to become finance minister is a question feeding speculation across the country’s pundit class. But what wou...,https://www.nationalobserver.com/2024/07/15/analysis/mark-carney-finance-minister-canada-climate-ambitions,nationalobserver.com,Political Commentary,Neutral
2024-09-10,Mark Carney joins Liberals as economic advisor,"Former Bank of Canada governor Mark Carney will present his vision for the Liberals' economic policy when he meets with MPs in Nanaimo, B.C., today.",https://www.nationalobserver.com/2024/09/10/news/mark-carney-liberals-economic-advisor,nationalobserver.com,Political Commentary,Neutral
2024-09-10,"Mark Carney mum on carbon-tax advice, future in politics at Liberal retreat",Former Bank of Canada governor Mark Carney says he'll be advising the Liberal party to flip some the challenges posed by an increasingly divided and dangerous w...,https://www.cp24.com/news/mark-carney-mum-on-carbon-tax-advice-future-in-politics-at-liberal-retreat-1.7031927,cp24.com,Political Commentary,
2024-12-19,Raymond J. de Souza: Mark Carney for Conservative finance minister,Good players can play for different teams — especially when a coaching change is coming,https://nationalpost.com/opinion/raymond-j-de-souza-mark-carney-for-conservative-finance-minister,nationalpost.com,Political Commentary,Neutral
2025-01-14,Chris Selley: Mark Carney on The Daily Show — why?,"That show from 2008? On cable television, which no one under 35 subscribes to?",https://nationalpost.com/opinion/chris-selley-mark-carney-daily-show,nationalpost.com,Political Commentary,Negative
2025-02-07,Mark Carney was made for this moment,Forget about a carbon tax election. Canadians are being thrust — very much against their will — into a much more serious and sobering conversation: what if...,https://www.nationalobserver.com/2025/02/07/opinion/mark-carney-tariffs-Trump-Trudeau-election,nationalobserver.com,Political Commentary,Neutral
2025-02-16,Michael Higgins: Mark Carney follows Trudeau's anti-Israel lead,Liberal leadership candidates Mark Carney and Frank Baylis couldn't even bring themselves to mention the hostages,https://nationalpost.com/opinion/mark-carney-follows-trudeaus-anti-israel-lead,nationalpost.com,Political Commentary,Negative
2025-03-03,Matthew Lau: Mark Carney is nothing like Paul Martin,"Carney's budgets accounting tricks, tax plans opposite of deficit slaying former prime minister",https://nationalpost.com/opinion/matthew-lau-mark-carney-is-nothing-like-paul-martin,nationalpost.com,Political Commentary,Negative
2025-03-05,Michael Higgins: Mark Carney and the truth don't get along,The Liberal leadership frontrunner seems to think that politics is the art of the inexactitude,https://nationalpost.com/opinion/michael-higgins-mark-carney-and-the-truth-dont-get-along,nationalpost.com,Political Commentary,Negative
2025-03-10,Jamie Sarkonak: Mark Carney has forever politicized the Bank of Canada,"It doesn't matter that he is no longer in the role, the fact that he once held it is enough",https://nationalpost.com/opinion/jamie-sarkonak-mark-carney-has-forever-politicized-the-bank-of-canada,nationalpost.com,Political Commentary,Negative
2025-03-10,"After landslide victory, Mark Carney meets with Trudeau as transition to power begins",Prime minister-designate Mark Carney met with Prime Minister Justin Trudeau Monday as the new Liberal leader takes the reins of power after a landslide victory...,https://www.cbc.ca/news/politics/mark-carney-day-1-1.7479519?cmp=rss,cbc.ca,Political Commentary,Neutral
2025-03-10,Mark Carney becomes prime minister-designate: What’s next?,"In a landslide win, Mark Carney became leader of the federal Liberal Party. Political scientist Jamie Gillies  talks about why he  thinks Carney won by such a m...",https://www.cbc.ca/player/play/video/9.6679232,cbc.ca,Political Commentary,Neutral
2025-03-10,Canada’s Liberal Party Elects Mark Carney as Next Prime Minister,The former central banker plans to tackle U.S. tariffs with retaliatory measures.,https://foreignpolicy.com/2025/03/10/canada-mark-carney-trudeau-liberal-party-trump-tariffs-pierre-poilievre/,foreignpolicy.com,Political Commentary,Neutral
2025-11-18,B.C. scraps EV sales mandate of 100% by 2035, hands rebates to feds,globalnews,https://globalnews.ca/news/11531585/bc-scraps-ev-sales-mandate-100-by-2035-hands-rebates-to-feds/,Political Commentary,Negative
2025-11-18,B.C. scraps EV sales mandate of 100% by 2035, hands rebates to feds,globalnews,https://globalnews.ca/news/11531585/bc-scraps-ev-sales-mandate-100-by-2035-hands-rebates-to-feds/,Political Commentary,Negative
2025-03-13,Terry Glavin: Who is this Mark Carney guy, anyway?,Carney is an almost cartoonishly stereotypical figure straight out of the fever dreams of American celebrity lunatic Tucker Carlson — a World Economic Forum g...,https://nationalpost.com/opinion/terry-glavin-who-is-this-mark-carney-guy-anyway,Political Commentary,Negative
2025-03-14,Mark Carney sworn in as PM and introduces new cabinet,The new government includes 20 Trudeau-era ministers along with three new faces from the Liberal caucus.,https://www.nationalobserver.com/2025/03/14/news/mark-carney-pm-cabinet,nationalobserver.com,Political Commentary,Negative
2025-03-14,Quick quotes: Reaction to Mark Carney being sworn in as prime minister,"Breaking News, Sports, Manitoba, Canada",https://www.winnipegfreepress.com/canada/2025/03/14/quick-quotes-reaction-to-mark-carney-being-sworn-in-as-prime-minister,winnipegfreepress.com,Political Commentary,Neutral
2025-03-14,Prime Minister Mark Carney tries to turn the page,In the limited space of his first day as prime minister — and with an election maybe just more than a week away — Mark Carney could at least try to signal...,https://www.cbc.ca/news/politics/carney-cabinet-carbon-tax-analysis-1.7484424?cmp=rss,cbc.ca,Political Commentary,Neutral
2025-03-15,Why Mark Carney is dropping both his Irish and U.K. passports,"Monday might be the last St. Patrick's Day that Mark Carney can truly claim to be Irish, as Canada's newly sworn-in prime minister moves to renounce both h...",https://www.cbc.ca/news/canada/dual-citizenship-prime-minister-carney-1.7481926?cmp=rss,cbc.ca,Political Commentary,Neutral
2025-03-17,Mark Carney calls Canada 'the most European of non-European countries' while in France,Mark Carney holds Irish and British citizenship and chose to make his first trip as prime minister to France and the United Kingdom,https://nationalpost.com/news/canada/mark-carney-european-canada,nationalpost.com,Political Commentary,Negative
2025-03-18,Is Mark Carney Alberta bound? Locals say don't count on it,"With the Liberals enjoying a rare polling bump in Western Canada, some have speculated that currently seatless Prime Minister Mark Carney.",https://nationalpost.com/news/canada/mark-carney-alberta-bound-locals-say-dont-count-on-it,nationalpost.com,Political Commentary,Negative
2025-03-20,Prime Minister Mark Carney joins Oilers on ice for morning skate,Prime Minister Mark Carney joined the Edmonton Oilers on the ice Thursday as the NHL team prepared for a game against the Western Conference-leading Winnipeg ...,https://www.sportsnet.ca/nhl/article/prime-minister-mark-carney-joins-oilers-on-ice-for-morning-skate/,sportsnet.ca,Political Commentary,Neutral
2025-03-20,Oilers fan Mark Carney practices with team before Thursday's home game against Jets,"Prime Minister Mark Carney joined the Edmonton Oilers on the ice Thursday, as the NHL team prepared for a game against the Western Conference-leading Winnipeg J...",https://www.cbc.ca/news/canada/edmonton/oilers-fan-mark-carney-practices-with-team-before-thursday-s-home-game-against-jets-1.7488835?cmp=rss,cbc.ca,Political Commentary,Neutral
2025-03-21,Michael Taube: Heed Britain's stern warnings about Mark Carney,The British press has been far more critical of our new prime minister than our own,https://nationalpost.com/opinion/britains-stern-warnings-about-mark-carney,nationalpost.com,Political Commentary,Negative
2025-03-24,Canada's Mark Carney calls snap election,Voters will go to the polls on April 28 to pick a new government,https://theweek.com/politics/canada-snap-election-mark-carney,theweek.com,Political Commentary,Negative
2025-03-29,NP View: Mark Carney is a mirage,Plagiarism accusations only the latest evidence he's been oversold,https://nationalpost.com/opinion/np-view-mark-carney-is-a-mirage,nationalpost.com,Political Commentary,Negative
2025-03-29,Conrad Black: Mark Carney has poor values,Canadians cannot possibly support his plans for global climate policy,https://nationalpost.com/opinion/conrad-black-mark-carney-has-poor-values,nationalpost.com,Political Commentary,Negative
2025-04-11,McKinney hits the mark with Carney impression on ‘This Hour Has 22 Minutes’,"Mark McKinney’s impression of Canada’s new prime minister may be buttoned-up and intense, but he said the process of portraying Mark Carney on “This Hour ...",https://toronto.citynews.ca/2025/04/11/mckinney-hits-the-mark-with-carney-impression-on-this-hour-has-22-minutes/,680news.com,Political Commentary,Neutral
2025-04-21,"Mark Carney, Cutthroat Capitalist","The prime minister sells himself as a public servant, but his private sector past reveals his true loyalties",https://thewalrus.ca/mark-carney-cutthroat-capitalist/,thewalrus.ca,Political Commentary,Negative
2025-04-29,Ontario Premier Doug Ford congratulates Mark Carney on projected Liberal win,"Ontario Premier Doug Ford is congratulating Mark Carney on his projected victory for the Liberals, and thanked both Pierre Pollievre and Jagmeet Singh for runni...",https://globalnews.ca/news/11154899/doug-ford-congratulates-mark-carney-liberal-canada-election/,globalnews.ca,Political Commentary,Positive
2025-04-30,Mark Carney needs to depolarize our politics,"Under a more proportional system, both parties would be incentivized to compete more aggressively in all parts of the country — and rewarded for efforts aimed...",https://www.nationalobserver.com/2025/04/30/opinion/mark-carney-politics-proportional-electoral-reform,nationalobserver.com,Political Commentary,Neutral
2025-05-06,Mark Carney isn’t here to play,"By letting his opponents expose the smallness of their politics, Carney’s will start to look bigger by comparison.",https://www.nationalobserver.com/2025/05/06/opinion/mark-carney-isnt-here-play,nationalobserver.com,Political Commentary,Positive
2025-05-09,"Not Justin Trudeau? Prove It, Mark Carney — On Climate","Canadians have been fed a steady diet of climate noise — photo-ops, grand announcements, and lofty targets — none of which have translated into serious emis...",https://www.nationalobserver.com/2025/05/07/opinion/not-justin-trudeau-prove-it-mark-carney-climate,nationalobserver.com,Political Commentary,Negative
2025-05-28,Mark Carney meets the battleground of question period,"When he formally launched his political career in January, Carney said ""this is no time for politics as usual."" It remains to be seen how well that sense of t...",https://www.cbc.ca/news/politics/carney-question-period-analysis-1.7546380?cmp=rss,cbc.ca,Political Commentary,Neutral
2025-05-31,Can Mark Carney defeat Canadian populism?,"Is it possible that the visit of King Charles marked the end of Canada's brief populist moment? It is, of course, far too early to draw any such conclusion. One...",https://www.cbc.ca/news/politics/carney-populism-poilievre-trump-analysis-1.7548623?cmp=rss,cbc.ca,Political Commentary,Neutral
2025-06-06,Are Mark Carney and David Eby best friends now?,The two government leaders may have a lot in common.,https://www.straight.com/city-culture/are-mark-carney-and-david-eby-best-friends-now,straight.com,Political Commentary,Neutral
2025-07-15,Mark Carney and the Illusion of Control,He built his career on mastering complexity. But politics has a way of defying being managed,https://thewalrus.ca/mark-carney-and-the-illusion-of-control/,thewalrus.ca,Political Commentary,Negative
2025-07-18,Does Mark Carney really have 574 conflicts of interest? | About That,Prime Minister Mark Carney says he followed all the rules about disclosing his financial assets — now held in a blind trust — but Pierre Poilievre and Oppos...,https://www.cbc.ca/player/play/video/9.6835597?cmp=rss,cbc.ca,Political Commentary,Negative
2025-08-04,Mark Carney Pictured Hugging Man In Thong At Vancouver Pride Parade,A photograph circulating online shows Mark Carney embracing a nearly naked man clad only in a pink thong and chest harness during Vancouver’s Pride Parade.,https://dailycaller.com/2025/08/04/canada-prime-minister-mark-carney-hugging-gay-pride-vancouver-thong/,dailycaller.com,Political Commentary,Negative
2025-09-01,"Who Is Mark Carney, Really?",We hired the guy with the best résumé. He’s now using power in ways few other prime ministers have dared,https://thewalrus.ca/who-is-mark-carney/,thewalrus.ca,Political Commentary,Neutral
2025-10-25,"A bad week for Conservatives dredges up doubts, worries about Poilievre's future as leader","With Mark Carney more than willing to take Conservative ideas, what's left, one source said, becomes a test of leadership.",https://nationalpost.com/news/canada/a-bad-week-for-conservatives-dredges-up-doubts-worries-about-poilievres-future-as-leader,National Post,Political Commentary,Positive
2025-10-25,"With his ‘despicable’ RCMP rant, Pierre Poilievre is cementing his Daffy Duck status","The next test of the Bugs-Daffy dichotomy in Canada will be whether Carney can outwit Poilievre to pass his budget and remain in power. Heading up a minority government, he’ll need every tool at his disposal — maybe even the giant mallet — to rally enough vot…",https://www.nationalobserver.com/2025/10/25/opinion/pierre-poilievre-mark-carney-rcmp,National Observer,Political Commentary,Positive
2025-10-27,Dodgers manager backtracks after complaining about travel from Toronto,"Los Angeles Dodgers manager Dave Roberts made a powerful enemy out of many Toronto Blue Jays fans throughout Canada on Sunday.When asked by a reporter at Dodger Stadium who'd experienced his own travel delays from Toronto to Los Angeles, Roberts had an intere…",https://dailyhive.com/toronto/blue-jays-dodgers-manager-travel-canada,Daily Hive,Political Commentary,Neutral
