publishedAt,title,description,url,source_name,topic,sentiment
2025-03-10," ""Mark Carney",  Canada’s next prime minister,"  vows to fight Trump’s tariffs""", Former central banker Mark Carney won the race to become leader of Canada’s ruling Liberal Party and will succeed Justin Trudeau as prime minister. Carney wil...,Trade Disputes, nbcnews.com
2025-03-10, Mark Carney to be next Canada PM…," ""From the Guardian: Mark Carney",  the former central banker who oversaw the response to financial crises in North America and the UK,"  will become the next prime m...""",Trade Disputes, sluggerotoole.com
2025-03-28, Trump says he had ‘productive call’ with Mark Carney," ""U.S. President Donald Trump says he had a """"productive call"""" with Prime Minister Mark Carney Friday morning.""", https://toronto.citynews.ca/2025/03/28/trump-says-he-had-productive-call-with-mark-carney/, 680news.com,Trade Disputes, Neutral
2025-10-07, Canadian Prime Minister Mark Carney to meet Trump as tensions over trade war continue, President Donald Trump and Canadian Prime Minister Mark Carney are scheduled to meet at the White House on Tuesday amid the trade war between the neighboring na..., https://abcnews.go.com/Politics/canadian-prime-minister-mark-carney-meet-trump-tensions/story?id=126288331, abcnews.go.com,Trade Disputes, Neutral
2025-10-07, Watch Live: Donald Trump Meets with Canadian PM Mark Carney," ""President Donald Trump meets with Canadian Prime Minister Mark Carney at the White House on Tuesday","  October 7.""", https://www.breitbart.com/economy/2025/10/07/watch-live-donald-trump-meets-with-canadian-pm-mark-carney/,Trade Disputes, Trade Disputes
2025-10-23, PM Mark Carney says Canada will double non-US exports as Canadians can't rely on US," ""Canadian Prime Minister Mark Carney says he's setting a goal for the country to double its non-U.S. exports in the next decade","  saying Canada's former strengt...""", https://abcnews.go.com/Business/wireStory/prime-minister-mark-carney-canada-double-us-exports-126780000,Trade Disputes, Trade Disputes
2025-10-24, Ontario quickly caves to Trump and promises to pull the offending Reagan ad that killed Canada trade talks," ""Days before he called the ad fraudulent","  Trump told a group of Republican senators that he'd take out the same ad if he were Canadian.""", https://fortune.com/2025/10/24/canada-tariffs-tv-ad-trump-carney-ontario-prime-minister-trade-what-happened/,Trade Disputes, Trade Disputes
2025-10-24, Trump's latest outburst is another reminder of how much has changed," """"""I think we all cling to a model of behaviour of a president",  out of comfort," """" Flavio Volpe",Trade Disputes,  said on Friday morning
2025-10-24," ""Ontario Premier Doug Ford caves","  pulls anti-tariff ad after Trump blowback""", Trump accused the provincial government of interfering with the Supreme Court's decision, https://www.wnd.com/2025/10/ontario-premier-doug-ford-caves-pulls-anti-tariff/,Trade Disputes, Trade Disputes
2025-10-24, Canada Seeks New Trade Partners in Asia After Trump's Blowup, Prime Minister Mark Carney hopes to decrease Ottawa's dependence on Washington., http://foreignpolicy.com/2025/10/24/canada-mark-carney-trade-talks-asia-trump-ronald-reagan-ontario-ad/, Foreign Policy,Trade Disputes, Positive
2025-10-24, Trump's Tantrum Over Accurate Reagan Quotes Backfires: Millions Learn Reagan Opposed His Tariff Policy," ""Donald Trump just cut off all trade negotiations with Canada because an Ontario ad campaign quoted Ronald Reagan accurately. The quotes are real. The context is accurate. But Trump called them ""fake"" and ""fraudulent"," "" and the Reagan Foundation—the institution…""", https://www.techdirt.com/2025/10/24/trumps-tantrum-over-accurate-reagan-quotes-backfires-millions-learn-reagan-opposed-his-tariff-policy/,Trade Disputes, Trade Disputes
2025-10-24, Canada Caves: Ontario To Yank 'Fake' Reagan Ad After Pressure From Trump, Trump ended all trade talks with Canada on ThursdayThe liberal Canadian premier who launched a $75 million anti-tariff ad campaign in the United States featuring former President Ronald Reagan will yank the effort after pressure from President Donald Trump.On…, https://freerepublic.com/focus/f-news/4348463/posts, Freerepublic.com,Trade Disputes, Negative
2025-10-24, Ford pulls US ad campaign after Trump halts trade talks," ""With emotions running high over Canada's trade standoff with the US","  Ontario Premier Doug Ford's attempt to take his anti-tariff message directly to Americans appears to have backfired.""", https://www.nationalobserver.com/2025/10/24/news/ford-us-ad-campaign-trump-trade-tariffs,Trade Disputes, Trade Disputes
2025-10-25," ""Ontario will pull ads that triggered Trump in order to restart trade talks","  Ford says"""," ""OTTAWA — Ontario is hitting pause on its short-lived anti-tariff television ad campaign in the United States on Monday so that Canada-U.S. trade talks can resume","  Ontario Premier Doug Ford said Friday. Ford said he decided to pull the plug on the campaign aft…""",Trade Disputes, Financial Post
2025-10-25, Trump: No plans to meet Carney during trip," ""United States President Donald Trump told reporters",  while boarding Air Force One for his Asia trip,"  that he had no plans to meet with Canadian Prime Minister Mark Carney.""""No",Trade Disputes, https://biztoc.com/x/f7318c258dbb4f33
2025-10-25," ""Trump",  tariffs and the World Series: How a TV ad upended trade talks between U.S.,"  Canada""", The latest trade tiff between the U.S. and Canada comes as the two countries face off in a different arena: the World Series.,Trade Disputes, USA Today
2025-10-25, Shadow of Trump's trade war follows Carney to Malaysia, The prime minister is due to arrive in Malaysia for the summit of southeast Asian nations — looking to advance free trade talks there after the recent scuttling of negotiations with the United States., https://www.cbc.ca/news/politics/trade-canada-trump-carney-asia-9.6953292, CBC News,Trade Disputes, Positive
2025-10-25, Has business tuned out Trump's temper tantrums?," ""MONTREAL — Like exhausted parents",  Canada's business community seems to be increasingly tuning out the temper tantrums coming from downstairs. On Thursday,"  U.S. President Donald Trump announced he was halting trade talks with Canada over an anti-tariff ad cam…""",Trade Disputes, Financial Post
2025-10-25, How a one-minute ad threw Canada-U.S. trade talks into turmoil," ""Donald Trump took issue with the ad","  expressing concern that it twisted Reagan's legacy and undermined his own tariff policies""", https://nationalpost.com/news/canada/how-a-one-minute-ad-threw-canada-u-s-trade-talks-into-turmoil,Trade Disputes, Trade Disputes
2025-10-25, Trump threatens Canada with 10% extra import tax for not pulling down anti-tariffs ad sooner, By MARK SCHIEFELBEIN ABOARD AIR FORCE ONE (AP) — President Donald Trump said on Saturday that he plans to hike tariffs on imports of Canadian goods by an extra 10% because of an anti-tariff television ad aired by the province of Ontario. The ad used the words…, https://www.bostonherald.com/2025/10/25/trump-threatens-canada-with-10-extra-import-tax-for-not-pulling-down-anti-tariffs-ad-sooner/, Boston Herald,Trade Disputes, Negative
2025-10-25, Trump says he's hiking 'tariff on Canada' by 10% over Ontario government ad," ""U.S. President Donald Trump has announced on social media he will be increasing ""the Tariff on Canada"" by 10 per cent ""over and above what they are paying now"""" because of an advertisement by the Ontario government.""", https://www.cbc.ca/news/politics/trump-says-he-s-hiking-tariff-on-canada-by-10-over-ontario-government-ad-9.6953786, CBC News,Trade Disputes, Negative
